Model,Threshold,Accuracy,Precision,Recall,F1_Score,True_Positives,False_Positives,True_Negatives,False_Negatives
Gradient Boosting,0.1,0.6559,0.5934,0.9904,0.7422,24706,16928,8018,239
Gradient Boosting,0.15,0.6824,0.614,0.9829,0.7558,24519,15417,9529,426
Gradient Boosting,0.2,0.7046,0.6332,0.9726,0.767,24261,14052,10894,684
Gradient Boosting,0.25,0.7283,0.6569,0.9561,0.7787,23851,12460,12486,1094
Gradient Boosting,0.3,0.7457,0.6781,0.9352,0.7862,23328,11072,13874,1617
Gradient Boosting,0.35,0.7579,0.6978,0.9098,0.7898,22694,9829,15117,2251
Gradient Boosting,0.4,0.7692,0.7196,0.8821,0.7926,22003,8573,16373,2942
Gradient Boosting,0.45,0.7731,0.7383,0.8461,0.7886,21107,7480,17466,3838
Gradient Boosting,0.5,0.7756,0.7587,0.8084,0.7827,20165,6414,18532,4780
Gradient Boosting,0.55,0.7735,0.7804,0.7613,0.7707,18991,5345,19601,5954
Gradient Boosting,0.6,0.7678,0.8058,0.7056,0.7524,17601,4242,20704,7344
Gradient Boosting,0.65,0.7546,0.8299,0.6405,0.723,15978,3275,21671,8967
Gradient Boosting,0.7,0.7358,0.8513,0.5713,0.6838,14252,2489,22457,10693
Gradient Boosting,0.75,0.7121,0.8694,0.4993,0.6343,12454,1871,23075,12491
Gradient Boosting,0.8,0.6846,0.8932,0.4193,0.5707,10459,1250,23696,14486
Gradient Boosting,0.85,0.6416,0.916,0.3117,0.4652,7776,713,24233,17169
Gradient Boosting,0.9,0.5944,0.9415,0.2012,0.3316,5020,312,24634,19925
Gradient Boosting,0.95,0.5415,0.9629,0.0864,0.1586,2155,83,24863,22790
